TRDAR_CD,TRDAR_CD_NM,ADSTRD_CD,ADSTRD_CD_NM,SIGNGU_CD,SIGNGU_CD_NM
12079,도봉로_P,11305535,미아동,11305,강북구
12081,솔매로,11305535,미아동,11305,강북구
12084,동일로197길,11350595,공릉1동,11350,노원구
12085,도봉로_Q,11305535,미아동,11305,강북구
12086,동일로192길,11350595,공릉1동,11350,노원구
12087,공릉로_C,11350600,공릉2동,11350,노원구
12088,도봉로_R,11305535,미아동,11305,강북구
12089,통일로_B,11380520,불광1동,11380,은평구
12090,월계로_A,11305545,송중동,11305,강북구
12091,공릉로2길,11260620,묵1동,11260,중랑구
12092,한천로78길,11290810,석관동,11290,성북구
12093,서오릉로_A,11380552,갈현2동,11380,은평구
12094,월계로7길,11305545,송중동,11305,강북구
12095,서오릉로_B,11380570,대조동,11380,은평구
12097,연서로_B,11380570,대조동,11380,은평구
12098,장위로38길,11290770,장위2동,11290,성북구
12100,불광로_A,11380520,불광1동,11380,은평구
12101,서오릉로_C,11380552,갈현2동,11380,은평구
12102,월계로7나길,11305545,송중동,11305,강북구
12103,동일로_O,11260630,묵2동,11260,중랑구
12105,서오릉로_D,11380560,구산동,11380,은평구
12106,동일로_P,11260630,묵2동,11260,중랑구
12107,연서로_C,11380560,구산동,11380,은평구
12108,월계로_B,11290715,월곡1동,11290,성북구
12109,숙선옹주로,11260620,묵1동,11260,중랑구
12110,보국문로_A,11290650,정릉4동,11290,성북구
12111,석계로1길,11350560,월계1동,11350,노원구
12112,중랑역로_A,11260620,묵1동,11260,중랑구
12113,통일로73길,11380570,대조동,11380,은평구
12114,연서로26길,11380570,대조동,11380,은평구
12115,갈현로_C,11380552,갈현2동,11380,은평구
12116,도봉로10다길,11305545,송중동,11305,강북구
12117,화랑로_A,11350595,공릉1동,11350,노원구
12118,통일로_C,11380570,대조동,11380,은평구
12119,공릉로_D,11260620,묵1동,11260,중랑구
12120,공릉로_E,11260620,묵1동,11260,중랑구
12121,연서로27길,11380552,갈현2동,11380,은평구
12122,석계로_B,11350560,월계1동,11350,노원구
12123,솔샘로64길,11305555,송천동,11305,강북구
12124,석계로9길,11350560,월계1동,11350,노원구
12125,신내로_A,11260690,신내2동,11260,중랑구
12126,화랑로_B,11350595,공릉1동,11350,노원구
12128,봉화산로_A,11260690,신내2동,11260,중랑구
12129,신내로_B,11260680,신내1동,11260,중랑구
12130,중랑역로_B,11260610,중화2동,11260,중랑구
12131,화랑로13길,11290725,월곡2동,11290,성북구
12132,서오릉로_E,11380510,녹번동,11380,은평구
12134,중랑역로_C,11260630,묵2동,11260,중랑구
12135,봉화산로56길,11260680,신내1동,11260,중랑구
12136,동소문로_A,11290660,길음1동,11290,성북구
12137,은평로_A,11380510,녹번동,11380,은평구
12138,동소문로_B,11290685,길음2동,11290,성북구
12139,오패산로,11290725,월곡2동,11290,성북구
12140,길음로_A,11290660,길음1동,11290,성북구
12142,정릉로26길,11290630,정릉2동,11290,성북구
12143,화랑로_C,11290725,월곡2동,11290,성북구
12144,중랑역로_D,11260610,중화2동,11260,중랑구
12145,길음로7길,11290660,길음1동,11290,성북구
12146,신내로14길,11260680,신내1동,11260,중랑구
12147,정릉로_A,11290705,종암동,11290,성북구
12148,정릉로_B,11290630,정릉2동,11290,성북구
12149,평창문화로,11110560,평창동,11110,종로구
12150,서오릉로_F,11380570,대조동,11380,은평구
12151,보국문로_B,11290650,정릉4동,11290,성북구
12152,서오릉로_G,11380625,역촌동,11380,은평구
12153,진흥로_A,11110560,평창동,11110,종로구
12154,보국문로11길,11290640,정릉3동,11290,성북구
12155,보국문로_C,11290630,정릉2동,11290,성북구
12156,동일로_Q,11260630,묵2동,11260,중랑구
12157,도봉로_S,11290685,길음2동,11290,성북구
12158,진흥로_B,11380510,녹번동,11380,은평구
12159,불광로_B,11380570,대조동,11380,은평구
12161,평창11길,11110560,평창동,11110,종로구
12162,통일로_D,11380510,녹번동,11380,은평구
12165,용마산로115길_A,11260655,망우본동,11260,중랑구
12166,망우로_A,11260655,망우본동,11260,중랑구
12167,종암로_A,11290705,종암동,11290,성북구
12168,중랑역로_E,11260610,중화2동,11260,중랑구
12169,용마산로115길_B,11260655,망우본동,11260,중랑구
